Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",108.8390,-87.3760,180.0000,top
"C2","100n","C_0402_1005Metric",113.2840,-87.6300,180.0000,top
"C3","100n","C_0402_1005Metric",117.4630,-79.1360,-90.0000,top
"C4","100n","C_0402_1005Metric",109.3470,-75.7205,0.0000,top
"C5","100n","C_0402_1005Metric",106.0330,-84.4016,90.0000,top
"C6","10u, 4V","C_0402_1005Metric",106.9340,-87.3760,0.0000,top
"C8","2u2, 4V","C_0402_1005Metric",117.4750,-77.2310,-90.0000,top
"C11","100n","C_0402_1005Metric",109.4740,-74.2950,90.0000,top
"C12","100n, 50V","C_0402_1005Metric",111.7700,-106.5000,0.0000,top
"C13","220p","C_0402_1005Metric",117.4750,-81.0260,90.0000,top
"C14","220p","C_0402_1005Metric",111.6330,-72.6440,180.0000,top
"C15","220p","C_0402_1005Metric",117.5000,-83.9470,-90.0000,top
"C18","220p","C_0402_1005Metric",113.2840,-88.6460,180.0000,top
"C20","1u, 25V","C_0402_1005Metric",114.1984,-74.8030,-90.0000,top
"C21","1u, 25V","C_0402_1005Metric",115.9764,-76.8096,180.0000,top
"D1","~","D_SOD-323",107.1880,-62.2688,180.0000,top
"D3","~","D_SOD-323",107.1880,-64.2500,180.0000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",114.1730,-66.6750,90.0000,top
"J2","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",106.6800,-76.9470,90.0000,top
"J5","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Horizontal",115.5700,-108.1320,180.0000,top
"J6","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Horizontal",107.9600,-57.7850,0.0000,top
"J7","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Horizontal",110.4850,-60.3250,0.0000,top
"R1","5.1k","R_0402_1005Metric",108.4580,-66.5480,180.0000,top
"R2","5.1k","R_0402_1005Metric",106.5530,-66.5480,0.0000,top
"R3","10k","R_0402_1005Metric",106.0450,-58.6740,-90.0000,top
"R4","10k","R_0402_1005Metric",108.8390,-88.3920,0.0000,top
"R5","100R","R_0402_1005Metric",107.5436,-59.2836,180.0000,top
"R6","5.1k","R_0402_1005Metric",106.0330,-79.7710,-90.0000,top
"R7","10k","R_0402_1005Metric",106.0330,-81.8030,90.0000,top
"R9","5.1k","R_0402_1005Metric",115.8240,-90.8470,0.0000,top
"R10","20k","R_0402_1005Metric",115.8240,-92.8370,0.0000,top
"R13","10k","R_0402_1005Metric",111.6330,-97.6630,0.0000,top
"R14","68k","R_0603_1608Metric",107.0000,-60.5000,0.0000,top
"R15","10k","R_0402_1005Metric",109.7280,-72.6440,0.0000,top
"R20","10k","R_0402_1005Metric",115.3260,-106.5000,180.0000,top
"R21","10k","R_0402_1005Metric",108.2140,-106.5000,0.0000,top
"R22","10k","R_0402_1005Metric",107.5690,-97.6630,0.0000,top
"R23","10k","R_0402_1005Metric",109.6010,-97.6630,0.0000,top
"R24","10k","R_0402_1005Metric",115.0620,-59.3090,0.0000,top
"R25","68k","R_0603_1608Metric",115.4684,-60.6044,180.0000,top
"R26","68k","R_0603_1608Metric",109.6264,-62.8396,-90.0000,top
"R27","10k","R_0402_1005Metric",113.5380,-72.6440,0.0000,top
"R30","10k","R_0402_1005Metric",113.6650,-97.6630,0.0000,top
"R31","10k","R_0402_1005Metric",115.6970,-97.6630,0.0000,top
"R32","10k","R_0402_1005Metric",114.6810,-96.5200,0.0000,top
"U1","STM32F072CBTx","LQFP-48_7x7mm_P0.5mm",111.7600,-81.5340,0.0000,top
"U2","USBLC6-2SC6","SOT-23-6",107.5690,-68.8340,0.0000,top
"U3","LR8321A-T33","SOT-23-3",116.4590,-74.1680,270.0000,top
"U4","LIS2DH12","LGA-12_2x2mm_P0.5mm",111.7600,-74.6895,180.0000,top
"U5","LM324","SOIC-14_3.9x8.7mm_P1.27mm",111.7500,-102.2500,180.0000,top
